Pitcher: 543101 | FF: 25 | SL: 42 | CU: 0 | CH: 10 | FS: 0 | SI: 17 | KC: 5 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 623352 | FF: 0 | SL: 15 | CU: 0 | CH: 0 | FS: 0 | SI: 32 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 605540 | FF: 38 | SL: 6 | CU: 13 | CH: 14 | FS: 0 | SI: 32 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 676879 | FF: 12 | SL: 37 | CU: 9 | CH: 13 | FS: 0 | SI: 22 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 660623 | FF: 38 | SL: 58 | CU: 0 | CH: 6 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 519326 | FF: 36 | SL: 26 | CU: 0 | CH: 1 | FS: 0 | SI: 2 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 641778 | FF: 53 | SL: 38 | CU: 44 | CH: 16 | FS: 0 | SI: 0 | KC: 0 | FC: 10 | CS: 0 | None: 0 | 
Pitcher: 656420 | FF: 54 | SL: 18 | CU: 0 | CH: 8 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 664126 | FF: 42 | SL: 13 | CU: 0 | CH: 0 | FS: 0 | SI: 1 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 676596 | FF: 0 | SL: 0 | CU: 2 | CH: 4 | FS: 0 | SI: 51 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 672715 | FF: 41 | SL: 17 | CU: 0 | CH: 2 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 552640 | FF: 15 | SL: 21 | CU: 0 | CH: 0 | FS: 0 | SI: 25 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 608638 | FF: 0 | SL: 18 | CU: 0 | CH: 0 | FS: 0 | SI: 43 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 663556 | FF: 80 | SL: 48 | CU: 21 | CH: 4 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 543521 | FF: 0 | SL: 40 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 25 | CS: 0 | None: 0 | 
Pitcher: 622072 | FF: 0 | SL: 31 | CU: 0 | CH: 3 | FS: 0 | SI: 49 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 664776 | FF: 0 | SL: 12 | CU: 0 | CH: 0 | FS: 0 | SI: 9 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 502202 | FF: 24 | SL: 15 | CU: 0 | CH: 3 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 605288 | FF: 4 | SL: 0 | CU: 7 | CH: 4 | FS: 0 | SI: 33 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 642547 | FF: 26 | SL: 22 | CU: 7 | CH: 2 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 656302 | FF: 56 | SL: 46 | CU: 0 | CH: 3 | FS: 0 | SI: 0 | KC: 8 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 502085 | FF: 0 | SL: 16 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 15 | FC: 56 | CS: 0 | None: 0 | 
Pitcher: 605538 | FF: 2 | SL: 36 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 656354 | FF: 8 | SL: 12 | CU: 0 | CH: 1 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 656876 | FF: 19 | SL: 11 | CU: 1 | CH: 2 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 608337 | FF: 67 | SL: 51 | CU: 1 | CH: 43 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 598264 | FF: 26 | SL: 0 | CU: 0 | CH: 5 | FS: 0 | SI: 0 | KC: 19 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 608379 | FF: 39 | SL: 0 | CU: 13 | CH: 40 | FS: 0 | SI: 23 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 669358 | FF: 66 | SL: 20 | CU: 10 | CH: 2 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 669203 | FF: 0 | SL: 21 | CU: 23 | CH: 12 | FS: 0 | SI: 5 | KC: 0 | FC: 72 | CS: 0 | None: 0 | 
Pitcher: 614179 | FF: 11 | SL: 0 | CU: 5 | CH: 1 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 625643 | FF: 28 | SL: 16 | CU: 1 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 458681 | FF: 77 | SL: 0 | CU: 3 | CH: 3 | FS: 0 | SI: 23 | KC: 0 | FC: 51 | CS: 0 | None: 0 | 
Pitcher: 572070 | FF: 16 | SL: 22 | CU: 1 | CH: 5 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 621052 | FF: 5 | SL: 16 | CU: 0 | CH: 1 | FS: 0 | SI: 1 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 519008 | FF: 0 | SL: 4 | CU: 0 | CH: 10 | FS: 0 | SI: 29 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 606149 | FF: 14 | SL: 17 | CU: 0 | CH: 0 | FS: 0 | SI: 0 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
Pitcher: 472610 | FF: 0 | SL: 12 | CU: 0 | CH: 0 | FS: 6 | SI: 31 | KC: 0 | FC: 0 | CS: 0 | None: 0 | 
