Pitcher: Reiver Sanmartin | ID: 665665 | CU: 0 | CH: 376 | SL: 320 | FF: 246 | FS: 0 | SI: 245 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Jeff Hoffman | ID: 656546 | CU: 601 | CH: 646 | SL: 535 | FF: 2243 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Hunter Strickland | ID: 519326 | CU: 0 | CH: 168 | SL: 1167 | FF: 1764 | FS: 0 | SI: 265 | FC: 1 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Matt Strahm | ID: 621381 | CU: 569 | CH: 508 | SL: 922 | FF: 1721 | FS: 0 | SI: 244 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Kutter Crawford | ID: 676710 | CU: 237 | CH: 99 | SL: 77 | FF: 541 | FS: 0 | SI: 0 | FC: 435 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Michael Feliz | ID: 593140 | CU: 0 | CH: 149 | SL: 480 | FF: 1671 | FS: 0 | SI: 54 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Connor Seabold | ID: 657756 | CU: 26 | CH: 81 | SL: 82 | FF: 224 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Josh Winckowski | ID: 670174 | CU: 0 | CH: 116 | SL: 342 | FF: 153 | FS: 0 | SI: 458 | FC: 123 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Tyler Beede | ID: 595881 | CU: 438 | CH: 724 | SL: 402 | FF: 1479 | FS: 0 | SI: 280 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Mitch Keller | ID: 656605 | CU: 937 | CH: 325 | SL: 1344 | FF: 2743 | FS: 0 | SI: 593 | FC: 0 | KC: 0 | FA: 0 | CS: 1 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Duane Underwood | ID: 621249 | CU: 582 | CH: 725 | SL: 14 | FF: 856 | FS: 0 | SI: 424 | FC: 285 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Wil Crowe | ID: 640444 | CU: 282 | CH: 840 | SL: 1050 | FF: 1085 | FS: 0 | SI: 612 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Jose Quintana | ID: 500779 | CU: 2709 | CH: 1250 | SL: 0 | FF: 4076 | FS: 0 | SI: 1978 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Eli Morgan | ID: 669212 | CU: 69 | CH: 611 | SL: 511 | FF: 1254 | FS: 0 | SI: 0 | FC: 15 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Ernie Clement | ID: 676391 | CU: 0 | CH: 0 | SL: 0 | FF: 0 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 32 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 10 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Anthony Castro | ID: 621593 | CU: 0 | CH: 22 | SL: 398 | FF: 414 | FS: 0 | SI: 28 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Anthony Gose | ID: 543238 | CU: 1 | CH: 1 | SL: 166 | FF: 351 | FS: 0 | SI: 0 | FC: 0 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
Pitcher: Kirk Mccarty | ID: 668948 | CU: 57 | CH: 44 | SL: 20 | FF: 220 | FS: 0 | SI: 1 | FC: 231 | KC: 0 | FA: 0 | CS: 0 | nan: 0 | EP: 0 | FO: 0 | KN: 0 | PO: 0 | SC: 0 | FT: 0 | 
