Pitcher: Taylor Hearn | ID: 621368 | FF: 770 | SL: 339 | CU: 0 | SI: 357 | CH: 204 | KC: 0 | FC: 3 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Nicklaus Snyder | ID: 676766 | FF: 46 | SL: 13 | CU: 0 | SI: 0 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Brett Martin | ID: 656685 | FF: 222 | SL: 235 | CU: 192 | SI: 281 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Scott Barlow | ID: 605130 | FF: 406 | SL: 568 | CU: 247 | SI: 5 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Domingo Tapia | ID: 593619 | FF: 78 | SL: 99 | CU: 0 | SI: 298 | CH: 32 | KC: 0 | FC: 8 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Mike Minor | ID: 501985 | FF: 1165 | SL: 587 | CU: 0 | SI: 0 | CH: 524 | KC: 418 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Ervin Santana | ID: 429722 | FF: 479 | SL: 548 | CU: 0 | SI: 0 | CH: 35 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Brady Singer | ID: 663903 | FF: 7 | SL: 868 | CU: 0 | SI: 1314 | CH: 88 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Richard Lovelady | ID: 663992 | FF: 102 | SL: 163 | CU: 0 | SI: 62 | CH: 0 | KC: 0 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
Pitcher: Daniel Lynch | ID: 663738 | FF: 508 | SL: 357 | CU: 0 | SI: 148 | CH: 205 | KC: 33 | FC: 0 | FS: 0 | CS: 0 | KN: 0 | FA: 0 | EP: 0 | SC: 0 | 
